2012	The Dark Knight Rises	actor	Zac Lockard	Gotham Rogue Fan
2012	The Dark Knight Rises	actor	Silvia Lombardo	Tourist
2012	The Dark Knight Rises	actor	Jeremy Long	Sports Fan
2012	The Dark Knight Rises	actor	Oscar Magana Jr.	Gotham PD
2012	The Dark Knight Rises	actor	Jack Mahrt	Mercenary
2012	The Dark Knight Rises	actor	Constantine Malahias	Prisoner
2012	The Dark Knight Rises	actor	John Mancini	Soldier / Military Technical Advisor
2012	The Dark Knight Rises	actor	Max Mangel	Gotham Rogues Fan
2012	The Dark Knight Rises	actor	Grant Christopher Maquet	Gotham Police Officer
2012	The Dark Knight Rises	actor	Dan Marcus	Gotham Rogues Fan
2012	The Dark Knight Rises	actor	Branden Marlowe	Thug
2012	The Dark Knight Rises	actor	Sean Martin	Orphan
2012	The Dark Knight Rises	actor	Catya Maré	Female Cop
2012	The Dark Knight Rises	actor	London May	Court Room Thug
2012	The Dark Knight Rises	actor	Mike J. McAllister	Gotham Rogues Fan
2012	The Dark Knight Rises	actor	Orion McCabe	Mercenary
2012	The Dark Knight Rises	actor	Sean P. McCarthy	Football Fan
2012	The Dark Knight Rises	actor	Cale McConnell	Gotham Rogues Fan
2012	The Dark Knight Rises	actor	David Dale McCue	Gotham City Police Officer
2012	The Dark Knight Rises	actor	Kyle McGrath	Man in Crowd
2012	The Dark Knight Rises	actor	Tiffany Sander McKenzie	Gotham Rogues Fan
2012	The Dark Knight Rises	actor	Randall McNeal	Wayne Security Guard
2012	The Dark Knight Rises	actor	Eddy Mejia	Bane Mercenary
2012	The Dark Knight Rises	actor	John Merolla	Construction Worker - Tony
2012	The Dark Knight Rises	actor	Allen Merritt	Angry Mobster
2012	The Dark Knight Rises	actor	Heath Miller	Gotham Rogues Player
2012	The Dark Knight Rises	actor	Jeremy Moon	Pedestrian
2012	The Dark Knight Rises	actor	Alex Moore	Mercenary
2012	The Dark Knight Rises	actor	Paul Nandzik	Mercenary
2012	The Dark Knight Rises	actor	Patrick Naples	Gotham Rogues Fan
2012	The Dark Knight Rises	actor	Christopher Nardizzi	Football Fan
2012	The Dark Knight Rises	actor	Phil Nardozzi	Gothamite
2012	The Dark Knight Rises	actor	Nial Nelson-Hopkins	Gotham Rogues Fan
2012	The Dark Knight Rises	actor	Andy Newman	Gothamite
2012	The Dark Knight Rises	actor	Alessandro Nicolaci	Mercenary
2012	The Dark Knight Rises	actor	Adam Night	Mercenary
2012	The Dark Knight Rises	actor	Darko Nikolic	Swat Team
2012	The Dark Knight Rises	actor	Shane Nolan	Gotham City Police Officer
2012	The Dark Knight Rises	actor	Don Nowacki	Street Thug
2012	The Dark Knight Rises	actor	Jackson Nunn	Prisoner / Thug
2012	The Dark Knight Rises	actor	Joseph O'Brien	Gotham City News Cameraman
2012	The Dark Knight Rises	actor	Shaun O'Donnell	Gotham Citizen
2012	The Dark Knight Rises	actor	Matt O'Gorman	Running Teen
2012	The Dark Knight Rises	actor	Michael O'Neill	Thug
2012	The Dark Knight Rises	actor	Ben Palladino	Gotham Rogues Fan
2012	The Dark Knight Rises	actor	Michael Papajohn	Prison Guard
2012	The Dark Knight Rises	actor	Danny Patrick	Extra
2012	The Dark Knight Rises	actor	Steve Perry	Game Patron
2012	The Dark Knight Rises	actor	Jeffrey D. Petrauskas	Orphan
2012	The Dark Knight Rises	actor	Adam Piacente	Gotham City Police Officer
2012	The Dark Knight Rises	actor	Ernest Pierce	Gotham City Police Officer
2012	The Dark Knight Rises	actor	Kyle David Pierce	Gotham Stock Trader
2012	The Dark Knight Rises	actor	Bryan Pixler	Football Fan
2012	The Dark Knight Rises	actor	Jeff Pixler	Football Fan
2012	The Dark Knight Rises	actor	David Michael Plowman	Gotham City Policeman
2012	The Dark Knight Rises	actor	Troy Polamalu	Gotham Rogues Player
2012	The Dark Knight Rises	actor	Phillip M. Polite	Inmate
2012	The Dark Knight Rises	actor	Maurkice Pouncey	Gotham Rogues Player
2012	The Dark Knight Rises	actor	Michael Power	Gotham Police Officer
2012	The Dark Knight Rises	actor	Ryan Preimesberger	Stock Broker
2012	The Dark Knight Rises	actor	James Quinn	Gothamite
2012	The Dark Knight Rises	actor	Diezel Ramos	Prison Guard
2012	The Dark Knight Rises	actor	Jake Ramos	Gotham City Cop
2012	The Dark Knight Rises	actor	Luke R. Ravenstahl	Gotham Rogues Player
2012	The Dark Knight Rises	actor	Blake Reading	Gotham Rogues Fan
2012	The Dark Knight Rises	actor	Jason Reneau	Gotham Rogues Fan
2012	The Dark Knight Rises	actor	Simon Rhee	Bane's Henchmen
2012	The Dark Knight Rises	actor	Joseph Rittenhouse	Police Officer
2012	The Dark Knight Rises	actor	Linus Roache	Thomas Wayne
2012	The Dark Knight Rises	actor	Jason Rocco	Gotham Rogues Fan
2012	The Dark Knight Rises	actor	Clay Rodery	Taxi Driver
2012	The Dark Knight Rises	actor	Shindo Ki Rodriguez	Thug
2012	The Dark Knight Rises	actor	Kirsten Roeters	Doris in Black
2012	The Dark Knight Rises	actor	Ben Roethlisberger	Gotham Rogues Player
2012	The Dark Knight Rises	actor	Mark Roman	Gotham Police Officer
2012	The Dark Knight Rises	actor	Earl Rorer	Thug
2012	The Dark Knight Rises	actor	Aaron T. Rudd	Gotham Stock Trader
2012	The Dark Knight Rises	actor	Tyler Rumsey	Construction Worker
2012	The Dark Knight Rises	actor	Robert Rusin	Mercenary
2012	The Dark Knight Rises	actor	Joe Rusnak	Thug
2012	The Dark Knight Rises	actor	Jason Sabatasse	Football Player
2012	The Dark Knight Rises	actor	Anthony J Sacco	Thug
2012	The Dark Knight Rises	actor	Eric Salazar	Angry Thug
2012	The Dark Knight Rises	actor	Greg Sammis	Thug
2012	The Dark Knight Rises	actor	Zachary Scheer	Gothamite
